[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:18,321 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:19,396 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:19,920 INFO [main][GenericScope.java:294] - BeanFactory id=84b3241e-4c31-30b8-bc7e-5911567132a7
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:20,068 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$55559813] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:20,775 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:20,808 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:20,840 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:20,847 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:20,877 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [E:\BREW\IT\JDK\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;E:\BREW\IT\TortoiseGit\bin;E:\BREW\IT\TortoiseSVN\bin;E:\BREW\IT\JDK\bin;E:\BREW\IT\MAVEN\apache-maven-3.8.4\bin;E:\BREW\IT\Git\Git\cmd;E:\BREW\IT\MYSQL80\mysql-8.0.28-winx64\bin;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;;E:\BREW\IT\IDEA\IntelliJ IDEA 2021.3.2\bin;;.]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:21,269 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:21,270 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 2927 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:21,484 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:21,485 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:21,511 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@5d7dd549
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-30 18:40:23,968 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
